"","Intervaller","Simtag","Längder","Sträcka","Tid","Total tid","Medeltempo","Bästa tempo","Medel-Swolf","Medelpuls","Maxpuls","Totalt antal simtag","Medelantal simtag","Kalorier"
"","1","Frisim","1","50","1:01,2","1:01,2","2:02","2:02","83","--","--","22","22","12"
"","1.1","Frisim","1","50,00","1:01,2","1:01,2","2:02","2:02","83","--","--","22","--","12"
"","","Vila","0","0","0:14,4","1:15,6","0","0","0","--","--","0","0","0"
"","2","Frisim","1","50","0:54,6","2:10,2","1:49","1:49","75","--","--","20","20","12"
"","2.1","Frisim","1","50,00","0:54,6","0:54,6","1:49","1:49","75","--","--","20","--","12"
"","","Vila","0","0","0:02,3","2:12,5","0","0","0","--","--","0","0","0"
"","","Vila","0","0","0:26,0","2:38,4","0","0","0","--","--","0","0","0"
"","3","Frisim","3","150","2:06,3","4:44,7","1:24","0:47","57","--","--","44","15","35"
"","3.1","Frisim","1","50,00","1:06,5","1:06,5","2:13","2:13","90","--","--","23","--","11"
"","3.2","Frisim","1","50,00","0:23,6","1:30,1","0:47","0:47","31","--","--","7","--","12"
"","3.3","Frisim","1","50,00","0:36,2","2:06,3","1:12","1:12","50","--","--","14","--","12"
"","","Vila","0","0","0:27,8","5:12,6","0","0","0","--","--","0","0","0"
"","4","Frisim","2","100","1:52,4","7:04,9","1:52","1:47","78","--","--","44","22","24"
"","4.1","Frisim","1","50,00","0:58,8","0:58,8","1:58","1:58","82","--","--","23","--","12"
"","4.2","Frisim","1","50,00","0:53,5","1:52,4","1:47","1:47","75","--","--","21","--","12"
"","","Vila","0","0","0:48,0","7:53,0","0","0","0","--","--","0","0","0"
"","5","Frisim","2","100","1:59,4","9:52,4","1:59","1:55","82","--","--","44","22","23"
"","5.1","Frisim","1","50,00","1:02,1","1:02,1","2:04","2:04","84","--","--","22","--","11"
"","5.2","Frisim","1","50,00","0:57,4","1:59,4","1:55","1:55","79","--","--","22","--","12"
"","","Vila","0","0","0:31,1","10:24","0","0","0","--","--","0","0","0"
"","6","Frisim","1","50","0:51,4","11:15","1:43","1:43","72","--","--","21","21","12"
"","6.1","Frisim","1","50,00","0:51,4","0:51,4","1:43","1:43","72","--","--","21","--","12"
"","","Vila","0","0","1:45,2","13:00","0","0","0","--","--","0","0","0"
"","7","Frisim","1","50","0:51,1","13:51","1:42","1:42","71","--","--","20","20","12"
"","7.1","Frisim","1","50,00","0:51,1","0:51,1","1:42","1:42","71","--","--","20","--","12"
"","","Vila","0","0","0:16,2","14:07","0","0","0","--","--","0","0","0"
"","8","Frisim","2","100","0:55,5","15:03","0:56","0:41","38","--","--","20","10","24"
"","8.1","Frisim","1","50,00","0:20,4","0:20,4","0:41","0:41","26","--","--","6","--","12"
"","8.2","Frisim","1","50,00","0:35,1","0:55,5","1:10","1:10","49","--","--","14","--","12"
"","","Vila","0","0","0:30,5","15:34","0","0","0","--","--","0","0","0"
"","9","Frisim","1","50","0:54,1","16:28","1:48","1:48","76","--","--","22","22","12"
"","9.1","Frisim","1","50,00","0:54,1","0:54,1","1:48","1:48","76","--","--","22","--","12"
"","","Vila","0","0","0:43,5","17:11","0","0","0","--","--","0","0","0"
"","10","Frisim","1","50","0:59,4","18:10","1:59","1:59","81","--","--","22","22","12"
"","10.1","Frisim","1","50,00","0:59,4","0:59,4","1:59","1:59","81","--","--","22","--","12"
"","","Vila","0","0","0:21,3","18:32","0","0","0","--","--","0","0","0"
"","11","Frisim","1","50","0:58,7","19:30","1:57","1:57","81","--","--","22","22","12"
"","11.1","Frisim","1","50,00","0:58,7","0:58,7","1:57","1:57","81","--","--","22","--","12"
"","","Vila","0","0","0:28,5","19:59","0","0","0","--","--","0","0","0"
"","12","Frisim","1","50","0:56,8","20:56","1:54","1:54","79","--","--","22","22","12"
"","12.1","Frisim","1","50,00","0:56,8","0:56,8","1:54","1:54","79","--","--","22","--","12"
"","","Vila","0","0","0:18,4","21:14","0","0","0","--","--","0","0","0"
"","13","Frisim","1","50","0:58,3","22:12","1:57","1:57","81","--","--","23","23","12"
"","13.1","Frisim","1","50,00","0:58,3","0:58,3","1:57","1:57","81","--","--","23","--","12"
"","","Vila","0","0","0:34,3","22:47","0","0","0","--","--","0","0","0"
"","14","Frisim","1","50","0:57,7","23:44","1:55","1:55","80","--","--","22","22","12"
"","14.1","Frisim","1","50,00","0:57,7","0:57,7","1:55","1:55","80","--","--","22","--","12"
"","","Vila","0","0","0:30,3","24:15","0","0","0","--","--","0","0","0"
"","15","Frisim","1","50","0:47,1","25:02","1:34","1:34","68","--","--","21","21","12"
"","15.1","Frisim","1","50,00","0:47,1","0:47,1","1:34","1:34","68","--","--","21","--","12"
"","","Vila","0","0","0:22,9","25:25","0","0","0","--","--","0","0","0"
"","Summering","","20","1.000","25:25","25:25","1:42","0:41","71","","","389","20","238"
