"","Intervaller","Simtag","Längder","Sträcka","Tid","Total tid","Medeltempo","Bästa tempo","Medel-Swolf","Medelpuls","Maxpuls","Totalt antal simtag","Medelantal simtag","Kalorier"
"","1","Frisim","1","50","0:57,1","0:57,1","1:54","1:54","77","--","--","20","20","12"
"","1.1","Frisim","1","50,00","0:57,1","0:57,1","1:54","1:54","77","--","--","20","--","12"
"","","Vila","0","0","0:20,6","1:17,7","0","0","0","--","--","0","0","0"
"","2","Frisim","2","100","1:52,9","3:10,6","1:53","1:49","78","--","--","43","22","24"
"","2.1","Frisim","1","50,00","0:58,2","0:58,2","1:56","1:56","80","--","--","22","--","12"
"","2.2","Frisim","1","50,00","0:54,7","1:52,9","1:49","1:49","76","--","--","21","--","12"
"","","Vila","0","0","0:29,4","3:40,0","0","0","0","--","--","0","0","0"
"","3","Övning","2","100","2:48,0","6:28,0","0","0","0","--","--","0","0","--"
"","3.1","Övning","1","50,00","1:24,0","1:24,0","0","0","--","--","--","0","--","12"
"","3.2","Övning","1","50,00","1:24,0","2:48,0","0","0","--","--","--","0","--","12"
"","","Vila","0","0","1:12,9","7:40,8","0","0","0","--","--","0","0","0"
"","4","Frisim","1","50","0:49,1","8:30,0","1:38","1:38","69","--","--","20","20","12"
"","4.1","Frisim","1","50,00","0:49,1","0:49,1","1:38","1:38","69","--","--","20","--","12"
"","","Vila","0","0","0:13,5","8:43,4","0","0","0","--","--","0","0","0"
"","5","Frisim","1","50","0:51,5","9:35,0","1:43","1:43","73","--","--","21","21","12"
"","5.1","Frisim","1","50,00","0:51,5","0:51,5","1:43","1:43","73","--","--","21","--","12"
"","","Vila","0","0","0:22,3","9:57,2","0","0","0","--","--","0","0","0"
"","6","Frisim","2","100","1:49,2","11:46","1:49","1:44","77","--","--","45","23","24"
"","6.1","Frisim","1","50,00","0:57,5","0:57,5","1:55","1:55","81","--","--","23","--","12"
"","6.2","Frisim","1","50,00","0:51,7","1:49,2","1:44","1:44","74","--","--","22","--","12"
"","","Vila","0","0","0:38,4","12:25","0","0","0","--","--","0","0","0"
"","7","Frisim","4","200","3:49,1","16:14","1:55","1:48","80","--","--","91","23","48"
"","7.1","Frisim","1","50,00","0:58,5","0:58,5","1:57","1:57","81","--","--","22","--","12"
"","7.2","Frisim","1","50,00","0:57,9","1:56,4","1:56","1:56","81","--","--","23","--","12"
"","7.3","Frisim","1","50,00","0:58,8","2:55,2","1:58","1:58","82","--","--","23","--","12"
"","7.4","Frisim","1","50,00","0:54,0","3:49,1","1:48","1:48","77","--","--","23","--","12"
"","","Vila","0","0","0:45,0","16:59","0","0","0","--","--","0","0","0"
"","8","Frisim","6","300","5:48,6","22:48","1:56","1:48","81","--","--","138","23","72"
"","8.1","Frisim","1","50,00","0:58,8","0:58,8","1:58","1:58","80","--","--","21","--","12"
"","8.2","Frisim","1","50,00","0:59,3","1:58,1","1:59","1:59","82","--","--","23","--","12"
"","8.3","Frisim","1","50,00","0:58","2:56,1","1:56","1:56","81","--","--","23","--","12"
"","8.4","Frisim","1","50,00","0:59,5","3:55,6","1:59","1:59","84","--","--","24","--","12"
"","8.5","Frisim","1","50,00","0:58,8","4:54,4","1:58","1:58","84","--","--","25","--","12"
"","8.6","Frisim","1","50,00","0:54,2","5:48,6","1:48","1:48","76","--","--","22","--","12"
"","","Vila","0","0","0:57,2","23:45","0","0","0","--","--","0","0","0"
"","9","Frisim","4","200","3:47,0","27:32","1:54","1:47","80","--","--","93","23","48"
"","9.1","Frisim","1","50,00","0:57,6","0:57,6","1:55","1:55","80","--","--","22","--","12"
"","9.2","Frisim","1","50,00","0:57,8","1:55,4","1:56","1:56","82","--","--","24","--","12"
"","9.3","Frisim","1","50,00","0:58,1","2:53,6","1:56","1:56","82","--","--","24","--","12"
"","9.4","Frisim","1","50,00","0:53,4","3:47,0","1:47","1:47","76","--","--","23","--","12"
"","","Vila","0","0","0:36,7","28:09","0","0","0","--","--","0","0","0"
"","10","Frisim","2","100","1:47,4","29:56","1:47","1:42","77","--","--","46","23","24"
"","10.1","Frisim","1","50,00","0:56,2","0:56,2","1:52","1:52","79","--","--","23","--","12"
"","10.2","Frisim","1","50,00","0:51,2","1:47,4","1:42","1:42","74","--","--","23","--","12"
"","","Vila","0","0","0:47,6","30:44","0","0","0","--","--","0","0","0"
"","11","Frisim","2","100","1:46,4","32:30","1:46","1:43","76","--","--","46","23","24"
"","11.1","Frisim","1","50,00","0:54,9","0:54,9","1:50","1:50","78","--","--","23","--","12"
"","11.2","Frisim","1","50,00","0:51,5","1:46,4","1:43","1:43","75","--","--","23","--","12"
"","","Vila","0","0","0:38,4","33:08","0","0","0","--","--","0","0","0"
"","12","Frisim","2","100","1:45,2","34:54","1:45","1:43","76","--","--","47","24","24"
"","12.1","Frisim","1","50,00","0:53,9","0:53,9","1:48","1:48","77","--","--","23","--","12"
"","12.2","Frisim","1","50,00","0:51,3","1:45,2","1:43","1:43","75","--","--","24","--","12"
"","","Vila","0","0","0:26,8","35:20","0","0","0","--","--","0","0","0"
"","13","Frisim","1","50","0:46,9","36:07","1:34","1:34","69","--","--","22","22","12"
"","13.1","Frisim","1","50,00","0:46,9","0:46,9","1:34","1:34","69","--","--","22","--","12"
"","","Vila","0","0","0:34,4","36:42","0","0","0","--","--","0","0","0"
"","Summering","","30","1.500","36:42","36:42","1:51","1:34","78","","","632","23","336"
